---OutputTable---
time=16763
table_size=3895
[328] - <23 57 154 256 378 451 793 869 > true count=1, estimated count=21, Key=6891551
[329] - <7 57 218 569 > true count=1, estimated count=21, Key=1433125
[330] - <54 57 139 465 > true count=4, estimated count=21, Key=1128809
[331] - <218 853 1173 > true count=1, estimated count=21, Key=1908426
[332] - <28 29 327 569 883 > true count=1, estimated count=21, Key=3979158
[333] - <23 28 32 57 63 853 > true count=1, estimated count=21, Key=3396048
[334] - <139 538 > true count=2, estimated count=22, Key=294425
[335] - <110 120 139 214 259 538 554 729 845 > true count=1, estimated count=21, Key=6213830
[336] - <120 126 139 > true count=2, estimated count=21, Key=239873
[337] - <101 102 1056 > true count=1, estimated count=21, Key=1353719
[338] - <5 7 500 > true count=4, estimated count=21, Key=618334
[339] - <837 > true count=1, estimated count=21, Key=837
[340] - <4 139 418 525 > true count=1, estimated count=21, Key=1636084
[341] - <54 57 63 569 > true count=2, estimated count=21, Key=1242677
[342] - <4 120 126 > true count=2, estimated count=21, Key=220498
[343] - <16 19 57 120 270 833 > true count=1, estimated count=21, Key=4044825
[344] - <57 567 1173 > true count=2, estimated count=21, Key=1751823
[345] - <50 286 > true count=1, estimated count=21, Key=156492
[346] - <7 569 883 1134 > true count=1, estimated count=21, Key=3656519
[347] - <5 63 86 110 > true count=1, estimated count=21, Key=359390
[348] - <23 700 > true count=1, estimated count=21, Key=382923
[349] - <18 123 > true count=1, estimated count=21, Key=67299
[350] - <4 5 966 > true count=1, estimated count=21, Key=1189953
[351] - <48 197 569 > true count=1, estimated count=21, Key=807108
[352] - <995 1040 > true count=2, estimated count=21, Key=569875
[353] - <19 647 > true count=1, estimated count=21, Key=353928
[354] - <5 63 853 1134 > true count=20, estimated count=21, Key=3342865
[355] - <61 276 > true count=2, estimated count=21, Key=151033
[356] - <48 995 > true count=2, estimated count=21, Key=544313
[357] - <4 48 622 > true count=3, estimated count=21, Key=790698
[358] - <48 57 576 > true count=1, estimated count=21, Key=739131
[359] - <4 57 63 500 > true count=2, estimated count=21, Key=1105110
[360] - <5 702 > true count=2, estimated count=21, Key=383999
[361] - <19 177 460 807 817 841 883 > true count=1, estimated count=21, Key=3931826
[362] - <63 101 270 713 > true count=1, estimated count=21, Key=1808149
[363] - <126 234 > true count=2, estimated count=21, Key=128124
[364] - <7 57 270 499 605 > true count=1, estimated count=21, Key=3020668
[365] - <63 568 576 > true count=1, estimated count=21, Key=1018663
[366] - <5 353 > true count=1, estimated count=21, Key=193096
[367] - <51 288 367 711 > true count=1, estimated count=21, Key=2025653
[368] - <4 7 54 57 139 252 > true count=21, estimated count=21, Key=1468323
[369] - <7 105 139 > true count=1, estimated count=21, Key=228273
[370] - <15 63 139 > true count=2, estimated count=21, Key=205307
[371] - <7 48 54 105 353 > true count=1, estimated count=21, Key=1272291
[372] - <19 153 1044 > true count=1, estimated count=21, Key=1366786
[373] - <19 57 86 290 891 > true count=1, estimated count=21, Key=3164221
[374] - <57 336 > true count=1, estimated count=21, Key=183849
[375] - <327 622 > true count=1, estimated count=21, Key=340561
[376] - <4 5 13 48 109 139 157 213 367 388 460 567 659 669 869 891 > true count=1, estimated count=21, Key=3064928
[377] - <28 31 43 376 > true count=1, estimated count=21, Key=819200
[378] - <32 69 120 252 > true count=1, estimated count=21, Key=687491
[379] - <57 322 567 > true count=1, estimated count=21, Key=873034
[380] - <120 853 1173 > true count=5, estimated count=21, Key=1908328
[381] - <729 1227 > true count=1, estimated count=21, Key=671898
[382] - <7 18 43 54 57 115 303 > true count=1, estimated count=21, Key=2078393
[383] - <7 18 23 63 120 > true count=2, estimated count=21, Key=493559
[384] - <57 378 1173 > true count=3, estimated count=21, Key=1648440
[385] - <184 189 215 509 > true count=1, estimated count=21, Key=1382239
[386] - <23 63 405 > true count=1, estimated count=21, Key=532229
[387] - <57 105 658 > true count=1, estimated count=21, Key=866174
[388] - <5 48 300 > true count=2, estimated count=21, Key=394961
[389] - <54 378 793 > true count=1, estimated count=21, Key=1181417
[390] - <32 65 139 > true count=1, estimated count=21, Key=206418
[391] - <4 178 451 832 > true count=1, estimated count=21, Key=2309825
[392] - <48 54 147 > true count=1, estimated count=21, Key=210249
[393] - <54 57 367 404 562 > true count=1, estimated count=21, Key=2832386
[394] - <615 > true count=2, estimated count=21, Key=615
[395] - <5 28 63 294 > true count=1, estimated count=21, Key=678690
[396] - <139 189 622 > true count=1, estimated count=21, Key=867960
[397] - <5 38 48 76 > true count=1, estimated count=21, Key=231251
[398] - <57 63 218 443 668 787 800 > true count=1, estimated count=21, Key=1876718
[399] - <109 260 778 > true count=1, estimated count=21, Key=1098491
[400] - <63 252 1134 1191 > true count=1, estimated count=21, Key=3905256
[401] - <63 113 624 > true count=1, estimated count=21, Key=828770
[402] - <18 23 32 853 928 > true count=1, estimated count=21, Key=4303028
[403] - <63 106 > true count=1, estimated count=21, Key=58045
[404] - <54 303 367 > true count=2, estimated count=21, Key=616838
[405] - <57 372 374 545 1173 > true count=1, estimated count=21, Key=4973949
[406] - <36 57 197 288 367 435 567 > true count=1, estimated count=21, Key=5920637
[407] - <18 29 120 > true count=21, estimated count=21, Key=163361
[408] - <48 57 61 869 1092 1134 > true count=1, estimated count=21, Key=1400875
[409] - <13 31 > true count=1, estimated count=21, Key=16970
[410] - <7 54 57 252 378 1134 > true count=19, estimated count=21, Key=5701810
[411] - <48 54 57 61 378 1134 > true count=19, estimated count=21, Key=5321188
[412] - <13 88 105 153 460 > true count=1, estimated count=21, Key=1746663
[413] - <5 7 48 61 63 1134 > true count=19, estimated count=21, Key=4418440
[414] - <4 8 48 201 > true count=1, estimated count=20, Key=463965
[415] - <367 378 460 > true count=2, estimated count=20, Key=772473
[416] - <23 567 > true count=4, estimated count=22, Key=310172
[417] - <4 7 48 54 63 120 378 1134 > true count=19, estimated count=21, Key=2445626
[418] - <7 19 48 54 57 63 120 > true count=21, estimated count=22, Key=1089830
[419] - <5 7 54 57 139 460 > true count=20, estimated count=22, Key=2213172
[420] - <5 57 126 139 270 928 > true count=1, estimated count=21, Key=4528463
[421] - <5 7 54 57 63 460 > true count=20, estimated count=20, Key=2004248
[422] - <19 927 > true count=2, estimated count=20, Key=507088
[423] - <4 7 18 57 252 378 > true count=20, estimated count=20, Key=2185922
[424] - <7 380 1134 > true count=1, estimated count=21, Key=1601553
[425] - <7 54 57 63 139 367 > true count=2, estimated count=21, Key=1921495
[426] - <57 63 853 869 1134 > true count=3, estimated count=21, Key=5932138
